"id","id_crm","id_idealista","estado","id_empresa","contact_id","link_idealista","scope","created_at","updated_at","ref"
139125,"5390550",30520176,active,5232,26975325,https://www.idealista.pt/imovel/30520176,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"802"
139127,"5394937",30640994,inactive,5232,26975325,https://www.idealista.pt/imovel/30640994,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,m829
139128,"5395006",30644647,inactive,5232,26975325,https://www.idealista.pt/imovel/30644647,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"822"
139129,"5392562",30590351,inactive,5232,26975325,https://www.idealista.pt/imovel/30590351,microsite,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"814"
139130,"5391594",30557018,inactive,5232,26975325,https://www.idealista.pt/imovel/30557018,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"805"
139131,"6018596",31125699,inactive,5232,26975325,https://www.idealista.pt/imovel/31125699,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"637 (2)"
139132,"5272360",30828807,inactive,5232,26975325,https://www.idealista.pt/imovel/30828807,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,s- 538
139133,"5398052",30757995,active,5232,26975325,https://www.idealista.pt/imovel/30757995,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"926 (1)"
139134,"5372654",30239583,inactive,5232,26975325,https://www.idealista.pt/imovel/30239583,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"736"
139135,"5371838",30228393,inactive,5232,26975325,https://www.idealista.pt/imovel/30228393,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"734"
139136,"5370195",30204789,inactive,5232,26975325,https://www.idealista.pt/imovel/30204789,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"728"
139137,"5375175",30289069,inactive,5232,26975325,https://www.idealista.pt/imovel/30289069,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"742"
139138,"5366038",30119722,inactive,5232,26975325,https://www.idealista.pt/imovel/30119722,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M CV 711
139139,"6022324",31251328,inactive,5232,26975325,https://www.idealista.pt/imovel/31251328,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1030"
139140,"6012608",30923674,inactive,5232,26975325,https://www.idealista.pt/imovel/30923674,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"942"
139141,"6018984",31139228,inactive,5232,26975325,https://www.idealista.pt/imovel/31139228,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1006"
139142,"5390705",30525816,inactive,5232,26975325,https://www.idealista.pt/imovel/30525816,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"804"
139143,"5378495",30359266,active,5232,26975325,https://www.idealista.pt/imovel/30359266,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"770"
139144,"5396155",30695835,inactive,5232,26975325,https://www.idealista.pt/imovel/30695835,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"909"
139145,"5396510",30714736,inactive,5232,26975325,https://www.idealista.pt/imovel/30714736,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"763 (1)"
